,id,study.name,effect.key,b,s,n,specialty,outcome.group,outcome.flag,outcome.nr,comparison.nr,RCT,study.year,outcome_name,comparison_name,z,gemini-1.5-flash,human_response,gold_answer_GPT4,llama3-8b-8192,llama_8b_acc,llama3-70b-8192,llama_70b_acc,mixtral-8x7b-32768,mixtral_8x7b_acc,MV,MV_acc,gemini-1.5-pro,gpt4_acc,gemini_1.5flash_acc,gemini_1.5pro_acc,gemini_1.5flash_acc_clean,gemini_1.5pro_acc_clean,gemma_7b_it_acc_clean,gemma_7b_it_acc
277,CD008553,Keefe 1986,STD-Keefe-1986 1.231 1.364 13 16,0.22314355131421,1.46628782986152,29,Heart & Hypertension,efficacy,DICH,1,3,yes,1986.0,All-cause mortality,Lidocaine vs tocainide,0.15218263888563,"negative 
",negative,,,,,,,,,,,,,,,,,
278,CD003857,Palomba 2007,STD-Palomba-2007 1.319 0.626 30 32,0.276753001919591,0.625670527398337,62,Gynaecology & Urology,efficacy,DICH,1,2,yes,2007.0,Live birth rate,Open versus laparoscopic myomectomy,0.442330251786647,"positive 
",positive,,,,,,,,,,,,,,,,,
279,CD002786,Fiskerstrand 1984,STD-Fiskerstrand-1984 0.333 1.033 8 10,-1.09861228866811,1.03279555898864,18,Heart & Hypertension,efficacy,DICH,1,2,no,1984.0,Fistulae thromboses at one month,Ticlopidine versus placebo,-1.0637267744876,"negative 
",negative,,,,,,,,,,,,,,,,,
280,CD011746,Sharma 2010,STD-Sharma-2010 0.779 0.197 13 27,-1.26851132546351,0.857969178415583,40,Hepato-Biliary,efficacy,DICH,1,5,yes,2010.0,All-cause mortality at one year,Gemcitabine plus oxaliplatin versus best supportive care,-1.47850453999533,"negative 
",negative,,,,,,,,,,,,,,,,,
281,CD004961,De Grave 2012,STD-De-Grave-2012 1.025 0.345 51 61,0.0324352757531537,0.449087437085042,112,Emergency & Trauma,efficacy,DICH,1,3,yes,2012.0,Mortality at 1 year,ACE trochanteric nail versus the Gamma 3 nail,0.0722248566196512,"negative 
",negative,,,,,,,,,,,,,,,,,
282,CD002758,Lastayo 1998,STD-Lastayo-1998 0.441 1.172 17 15,-0.90078654533819,1.28039957705518,32,Emergency & Trauma,efficacy,DICH,1,6,no,1998.0,No improvement in pain,Rotator cuff repair (RCR) + continuous passive motion vs RCR + manual passive ROM exercises,-0.703519871046764,"negative 
",negative,,,,,,,,,,,,,,,,,
283,CD003233,Bhamik 2002,STD-Bhamik-2002 2.308 0.735 13 12,1.13943428318836,0.961769203083567,25,Kidney & Transplant,efficacy,DICH,1,1,yes,2002.0,Complete remission,Remission of proteinuria,1.18472735406289,"positive 
",positive,,,,,,,,,,,,,,,,,
284,CD004790,Lolekha 2002,STD-Lolekha-2002 1.489 0.549 47 50,0.454255272277596,0.624563339525596,97,Hepato-Biliary,efficacy,DICH,1,7,no,2002.0,Hepatitis B events,Four RV vaccinations versus three RV vaccinations,0.727316580288939,"negative 
",negative,,,,,,,,,,,,,,,,,
285,CD007818,Stein 1995,STD-Stein-1995 2.545 0.581 11 14,1.48160454092422,0.889330698283316,25,Neurology,efficacy,DICH,1,5,yes,1995.0,Fatigue - number of patients improved,Amantadine versus placebo,1.66597705868489,"positive 
",positive,,,,,,,,,,,,,,,,,
286,CD012041,Elamin 2012,STD-Elamin-2012 0.3 1.567 9 8,-1.33500106673234,1.70448325245358,17,Emergency & Trauma,efficacy,DICH,1,1,yes,2012.0,All-cause mortality (longest period reported),Omega-3 fatty acids and antioxidants versus placebo or standard nutrition,-0.783229207333439,"negative 
",negative,,,,,,,,,,,,,,,,,
287,CD000974,Azurin 1965i,STD-Azurin-1965i 0.711 0.168 145500 48934,-0.340773909175785,0.168371653795721,194434,Infectious Diseases,efficacy,DICH,1,1,yes,1964.0,"Cholera cases, by period of follow up",Injected cholera vaccine vs placebo (no booster),-2.02393871826687,"negative 
",negative,,,,,,,,,,,,,,,,,
288,CD008058,Ang 2000,STD-Ang-2000 1.066 0.161 17 22,0.316669609325033,0.81460753383066,39,Skin & Wounds,efficacy,DICH,1,1,yes,2000.0,Proportion completely healed in 10 days,MEBO vs silver sulphadiazine (SSD),0.388738866477096,"positive 
",positive,,,,,,,,,,,,,,,,,
289,CD011567,Bystritsky 1995,STD-Bystritsky-1995 2 0.754 11 11,0.944461608840852,1.00198216250004,22,Psychiatry & Mental Health,efficacy,DICH,1,4,yes,1995.0,Failure to respond,TCAs versus SSRIs,0.942593235875908,"negative 
",negative,,,,,,,,,,,,,,,,,
290,CD004767,Ohkuma 1990,STD-Ohkuma-1990 0.857 0.42 5 10,-0.441832752279039,1.14434427054266,15,Skin & Wounds,efficacy,DICH,1,11,yes,1990.0,Primary outcome: short-term clinical cure (up to 3 months after start of treatment),Topical: 10% povidone iodine versus 50% salicylic acid plaster,-0.386101249119304,"positive 
",positive,,,,,,,,,,,,,,,,,
291,CD003108,Fischl 1988,STD-Fischl-1988 0.643 0.241 60 60,-0.713766467762681,0.382530214596658,120,Infectious Diseases,efficacy,DICH,1,2,no,1988.0,Death,Cotrimoxazole and leucovorin vs control,-1.86590873224297,"negative 
",negative,,,,,,,,,,,,,,,,,
292,CD002807,Belenky 2001,STD-Belenky-2001 1.096 0.844 16 23,0.0918075492531229,0.844326944497082,39,Gynaecology & Urology,efficacy,DICH,1,3,no,2001.0,Pregnancy rate per couple,Testicular versus Testicular sperm retrieval techniques (obstructive and non-obstructive azoospermia),0.10873459606078,"positive 
",positive,,,,,,,,,,,,,,,,,
293,CD007339,Akriviadis 2000,STD-Akriviadis-2000 0.52 0.293 50 52,-0.998528830111127,0.432469739043057,102,Hepato-Biliary,efficacy,DICH,1,1,no,2000.0,Mortality using the fixed effect model,"All-cause mortality, pentoxifylline versus control",-2.30889872738983,"negative 
",negative,,,,,,,,,,,,,,,,,
294,CD001816,Eibl 1988,STD-Eibl-1988 0.08 1.46 88 91,-2.59943553353271,1.47541231366257,179,Neonatal,efficacy,DICH,1,1,yes,1988.0,Definite necrotizing enterocolitis (NEC) during study period,Oral immunoglobulin versus control,-1.76183668081219,"negative 
",negative,,,,,,,,,,,,,,,,,
295,CD007312,Flickinger 2001,STD-Flickinger-2001 0.718 0.444 44 43,-0.330741561912228,0.443514352465523,87,Neurology,efficacy,DICH,1,2,no,2001.0,Complete pain relief with no medication at final follow-up,One versus two isocentres,-0.745729106789027,"positive 
",positive,,,,,,,,,,,,,,,,,
296,CD002922,Clark 1984,STD-Clark-1984 2.857 1.603 20 19,1.09861228866811,1.66410058867569,39,Kidney & Transplant,efficacy,DICH,1,23,yes,1984.0,Death,Plasma exchange (PE) + immunosuppression (IS) versus IS alone,0.660183823107952,"negative 
",negative,,,,,,,,,,,,,,,,,
297,CD005283,Valeri (Tx) 1996,STD-Valeri-_x0028_Tx_x0029_-1996 0.224 1.06 25 28,-1.6519975268529,1.13364232786899,53,Kidney & Transplant,efficacy,DICH,1,3,no,1996.0,All-cause mortality,Transplant recipients,-1.45724756939722,"negative 
",negative,,,,,,,,,,,,,,,,,
298,CD006027,Al Waili 1999,STD-Al-Waili-1999 0.049 1.429 32 30,-3.35762613336851,1.47734356754647,62,Kidney & Transplant,efficacy,DICH,1,4,yes,1999.0,NSAID versus NSAID,Pain recurrence,-2.27274562744044,"neutral 
",neutral,,,,,,,,,,,,,,,,,
299,CD011943,Zoccali 2004,STD-Zoccali-2004 0.81 0.176 10 10,-1.82074700610131,1.61644212827482,20,Psychiatry & Mental Health,efficacy,DICH,1,1,no,2004.0,Mental state: specific. 1a. Negative symptoms: clinically important change,Mirtazapine adjunct versus placebo adjunct - short term,-1.12639170574238,"negative 
",negative,,,,,,,,,,,,,,,,,
300,CD003079,"Clonazepam 1993, CA",STD-Clonazepam-1993_x002c_-CA 0.333 1.563 8 8,-1.22377543162212,1.70811213297709,16,Psychiatry & Mental Health,efficacy,DICH,1,2,yes,1993.0,Tranquillisation or asleep: 1. sedation,Benzodiazepines versus antipsychotics,-0.71644911829599,"negative 
",negative,,,,,,,,,,,,,,,,,
301,CD008836,Huang 2004,STD-Huang-2004 4.742 0.836 44 38,1.55644538229359,0.836017183545168,82,Gastroenterology,efficacy,DICH,1,1,no,2004.0,Effective rate,Oral traditional Chinese medicine + conventional therapy versus conventional therapy,1.86173850601182,"neutral 
",neutral,,,,,,,,,,,,,,,,,
302,CD003220,Chen 2015,STD-Chen-2015 20.982 1.432 56 51,3.25936369764194,1.45888725384976,107,"Oral Health, Eyes & ENT",efficacy,DICH,1,21,yes,2015.0,Clinical failure,Vitapex pulpectomy versus zinc oxide and eugenol (ZOE) pulpectomy,2.23414365232201,"negative 
",negative,,,,,,,,,,,,,,,,,
303,CD002308,Afilalo 1999,STD-Afilalo-1999 0.323 0.887 28 26,-1.12986483217221,0.886611857624624,54,Lungs,efficacy,DICH,1,1,yes,1999.0,Admission to hospital,ICS versus placebo,-1.27436241964923,"negative 
",negative,,,,,,,,,,,,,,,,,
304,CD005937,MacDonald 1976,STD-MacDonald-1976 0.953 0.055 93 82,-0.407546274311989,0.477427052476701,175,Pregnancy & Childbirth,efficacy,DICH,1,4,no,1976.0,"Failure to suppress lactation as indicated by milk secretion, breast engorgement or breast pain at = 7 days",Pyridoxine versus placebo,-0.853630459769303,"negative 
",negative,,,,,,,,,,,,,,,,,
305,CD000535,BOA 2000,STD-BOA-2000 0.885 0.131 1351 1339,-0.121805217402441,0.131333023847995,2690,Heart & Hypertension,efficacy,DICH,1,5,no,2000.0,"Primary graft patency, 3 months","ASA or ASA/DIP versus vitamin K antagonists, all grafts",-0.927453079458663,"positive 
",positive,,,,,,,,,,,,,,,,,
306,CD004316,Qoubaitary 2006,STD-Qoubaitary-2006 0.286 0.945 10 10,-1.25276296849537,0.944911182523068,20,Gynaecology & Urology,efficacy,DICH,1,45,yes,2006.0,Azoospermia,Testosterone undecanoate (TU) 750 mg/8 wk IM versus TU 1000 mg/8 wk IM,-1.32579970653992,"negative 
",negative,,,,,,,,,,,,,,,,,
307,CD001415,Anhut 1994,STD-Anhut-1994 2.189 0.322 163 109,0.92640405786972,0.369817476692967,272,Neurology,efficacy,DICH,1,1,no,1994.0,Reduction in seizure frequency = 50%,Gabapentin versus placebo,2.50503049816341,"positive 
",positive,,,,,,,,,,,,,,,,,
308,CD006037,Elk 1998,STD-Elk-1998 0.2 1.454 6 6,-1.97716269255942,1.6661537672341,12,Psychiatry & Mental Health,efficacy,DICH,1,1,yes,1998.0,Preterm birth (< 37 weeks gestation),Any psychosocial intervention vs. control: neonatal outcomes,-1.18666279874133,"negative 
",negative,,,,,,,,,,,,,,,,,
309,CD009808,Altergott 2008,STD-Altergott-2008 1.045 1.404 66 69,0.0451204352804701,1.42481244300348,135,Emergency & Trauma,efficacy,DICH,1,1,no,2008.0,Infection,Prophylactic antibiotics versus no antibiotics following surgical repair,0.0316676314149509,"negative 
",negative,,,,,,,,,,,,,,,,,
310,CD008487,Shi 2009,STD-Shi-2009 1.024 0.061 45 45,0.311779624030842,0.7946905693698,90,Gastroenterology,efficacy,DICH,1,1,no,2009.0,Symptom scores of FD,Manual acupuncture compared with cisapride,0.392328330104744,"negative 
",negative,,,,,,,,,,,,,,,,,
311,CD005474,Gravem 1981,STD-Gravem-1981 0.966 0.115 29 28,-0.223143551314209,0.730296743340221,57,Psychiatry & Mental Health,efficacy,DICH,1,12,no,1981.0,Global state: Average endpoint global state score - Unwell,CIS-(Z) ZUCLOPENTHIXOL versus CIS(Z)/TRANS(E) ZUCLOPENTHIXOL - all short term,-0.30555189154151,"negative 
",negative,,,,,,,,,,,,,,,,,
312,CD001860,Attiah 1973,STD-Attiah-1973 0.724 0.097 152 76,-0.958762158983048,0.315289674939735,228,"Oral Health, Eyes & ENT",efficacy,DICH,1,1,no,1973.0,Active trachoma at 3 months,Any antibiotic versus control (individuals),-3.04089297934133,"negative 
",negative,,,,,,,,,,,,,,,,,
313,CD009583,Wandless 1987,STD-Wandless-1987 1.8 0.481 25 25,0.810930216216329,0.650854139658888,50,Anaesthesia & Pain,efficacy,DICH,1,2,yes,1987.0,Number of patients with moderate/severe pain (1h postop),Nalbuphine versus morphine,1.24594769673177,"negative 
",negative,,,,,,,,,,,,,,,,,
314,CD008591,Lam 1995,STD-Lam-1995 1.616 0.286 36 32,0.869770716239262,0.501027083627361,68,Psychiatry & Mental Health,efficacy,DICH,1,1,yes,1995.0,Response (> 50% improvement on 29-item HAM-D SIGH-SAD),Fluoxetine versus Placebo,1.7359754485571,"positive 
",positive,,,,,,,,,,,,,,,,,
315,CD009508,Bø 1990,STD-B_x00f8_-1990 0.911 0.074 23 29,-1.92577524064625,1.57493172327937,52,Gynaecology & Urology,efficacy,DICH,1,1,yes,1990.0,Patients' perception of change in incontinence - not cured,More versus less contact with health professionals,-1.22276744583971,"negative 
",negative,,,,,,,,,,,,,,,,,
316,CD009670,Aimer 2017,STD-Aimer-2017 1.25 0.587 19 19,0.292136422801161,0.766873678056066,38,Psychiatry & Mental Health,efficacy,DICH,1,1,yes,2017.0,Subgroups by type of pharmacotherapy,Effect of increasing behavioural support. Abstinence at longest follow-up,0.380944647287533,"neutral 
",neutral,,,,,,,,,,,,,,,,,
317,CD012131,Das 1999,STD-Das-1999 1.077 0.153 16 16,0.479573080261886,0.990800172428821,32,"Oral Health, Eyes & ENT",efficacy,DICH,1,1,yes,1999.0,Combined anatomical and functional success rate,Adjunctive intravitreal dexamethasone versus antibiotics alone,0.48402603633614,"positive 
",positive,,,,,,,,,,,,,,,,,
318,CD004305,Roski 2003,STD-Roski-2003 1.162 0.086 1024 1065,0.189302299009053,0.108007005978578,2089,Psychiatry & Mental Health,efficacy,DICH,1,4,yes,2003.0,Abstinence from smoking,Interventions directed at healthcare providers,1.75268536789733,"positive 
",positive,,,,,,,,,,,,,,,,,
319,CD005563,Sieber 2010,STD-Sieber-2010 0.478 0.315 57 57,-1.03987981500371,0.430741508238202,114,Psychiatry & Mental Health,efficacy,DICH,1,13,yes,2010.0,Incident delirium,Light versus deep propofol sedation,-2.41416207891591,"negative 
",negative,,,,,,,,,,,,,,,,,
320,CD005393,Huang 2006,STD-Huang-2006 9 1.493 300 296,2.19722457733622,1.49297273410651,596,Gastroenterology,efficacy,DICH,1,9,yes,2006.0,Proportion of patients complaining of difficulty voiding due to outlet obstruction or anal stenosis,Stenosis/Outlet obstruction,1.47171112180504,"negative 
",negative,,,,,,,,,,,,,,,,,
321,CD010655,Hammar 1987,STD-Hammar-1987 1.333 0.474 30 30,0.37469344944141,0.615457454896664,60,Pregnancy & Childbirth,efficacy,DICH,1,4,yes,1987.0,Frequency of leg cramps after treatment: never,Oral calcium versus oral vitamin C,0.608804794645508,"positive 
",positive,,,,,,,,,,,,,,,,,
322,CD000218,Chaudhuri 1980,STD-Chaudhuri-1980 5.571 1.532 34 38,1.77885606439215,1.5674001584609,72,Infectious Diseases,efficacy,DICH,1,16,no,1980.0,No parasitological cure (1 week),Tinidazole versus carnidazole,1.1349086924547,"negative 
",negative,,,,,,,,,,,,,,,,,
323,CD011611,Yoon 2009,STD-Yoon-2009 1.125 0.677 18 17,0.117783035656383,0.67700320038633,35,Psychiatry & Mental Health,efficacy,DICH,1,3,no,2009.0,Response rate,Cytidine versus placebo,0.173977073652194,"neutral 
",neutral,,,,,,,,,,,,,,,,,
324,CD003914,Lawson 1979,STD-Lawson-1979 1.022 0.154 148 135,0.0341913647482796,0.245950023291089,283,Oncology,efficacy,DICH,1,2,yes,1979.0,Overall failure (disregarding modifications),Treatment failure,0.139017530028095,"negative 
",negative,,,,,,,,,,,,,,,,,
325,CD008569,Pace 2001,STD-Pace-2001 13.6 1.007 35 34,3.09104245335832,1.07207772542416,69,Kidney & Transplant,efficacy,DICH,1,1,yes,2001.0,Stone-free rate,"Percussion, diuresis, and inversion therapy following shock wave lithotripsy versus no intervention following shock wave lithotripsy",2.88322607592221,"positive 
",positive,,,,,,,,,,,,,,,,,
326,CD008042,Ekbom 1991,STD-Ekbom-1991 4.5 0.504 39 39,2.01490302054227,0.617855995961868,78,Anaesthesia & Pain,efficacy,DICH,1,4,no,1991.0,Participants pain-free at 15 minutes,Sumatriptan versus placebo,3.26112076877315,"positive 
",positive,,,,,,,,,,,,,,,,,
327,CD010746,Chevrier 1999,STD-Chevrier-1999 6.25 1.487 27 24,1.94591014905531,1.53861851632414,51,"Oral Health, Eyes & ENT",efficacy,DICH,1,2,yes,1999.0,Intraocular pressure (IOP) increase of = 5 mmHg within 2 hours after laser trabeculoplasty (LTP),Medication versus medication: brimonidine versus apraclonidine (regardless of timing),1.26471255116844,"negative 
",negative,,,,,,,,,,,,,,,,,
328,CD009510,BRAVO,STD-BRAVO 1.918 0.157 134 132,1.11542915352569,0.259102812655912,266,"Oral Health, Eyes & ENT",efficacy,DICH,1,1,no,2011.0,15 or more letter gain at 6 months,Ranibizumab 0.3 mg versus sham,4.30496736832793,"positive 
",positive,,,,,,,,,,,,,,,,,
329,CD013105,Dieter 2014,STD-Dieter-2014 1.943 0.431 81 78,0.664159643686693,0.431433023517571,159,Gynaecology & Urology,efficacy,DICH,1,8,yes,2014.0,Postoperative infection - UTI,Prophylactic antibiotics for postoperative patients required urinary catheterisation,1.53942699673671,"negative 
",negative,,,,,,,,,,,,,,,,,
330,CD004568,Piya-Anant 1998,STD-Piya_x002d_Anant-1998 8.407 0.78 50 50,2.85726259928889,1.4751690815898,100,Gynaecology & Urology,efficacy,DICH,1,1,no,1998.0,Discontinuation - overall at 6 months,DMPA 25 mg / E2C 5 mg versus DMPA 150 mg,1.93690515544808,"negative 
",negative,,,,,,,,,,,,,,,,,
331,CD006023,Locatelli 2014,STD-Locatelli-2014 0.482 1.22 171 165,-0.735195416803445,1.22964113556205,336,Kidney & Transplant,efficacy,DICH,1,17,yes,2014.0,Death (all causes),Sevelamer versus colestilan,-0.597894292522507,"negative 
",negative,,,,,,,,,,,,,,,,,
332,CD001790,F-Dieterich(D),STD-F_x002d_Dieterich_x0028_D_x0029_ 1 0.415 50 50,0.0,0.416666666666667,100,Anaesthesia & Pain,efficacy,DICH,1,4,no,1988.0,Postural headache,Supplementary fluids versus no or less supplementary fluids,0.0,"negative 
",negative,,,,,,,,,,,,,,,,,
333,CD012983,Brookfield 1977,STD-Brookfield-1977 0.4 0.606 6 6,-2.30258509299405,1.39642400437689,12,Emergency & Trauma,efficacy,DICH,1,1,no,1977.0,Risk of acute mountain sickness,Spironolactone: spironolactone vs. placebo,-1.64891543383451,"negative 
",negative,,,,,,,,,,,,,,,,,
334,CD012744,Bardet 2011,STD-Bardet-2011 1.028 0.156 131 132,0.0444952398865511,0.253580293178461,263,"Oral Health, Eyes & ENT",efficacy,DICH,1,5,no,2011.0,Xerostomia (0 to 4 scale - grade 2 or above),Amifostine (intravenous versus subcutaneous),0.175468051278089,"negative 
",negative,,,,,,,,,,,,,,,,,
335,CD001433,Bhushan 2001,STD-Bhushan-2001 0.446 0.221 7 8,2.23359222150709,1.31384568203061,15,Skin & Wounds,efficacy,DICH,1,3,yes,2001.0,induction of remission,liarozole versus placebo,1.70004152851115,"positive 
",positive,,,,,,,,,,,,,,,,,
336,CD004778,Lau 1996,STD-Lau-1996 1.11 0.6 48 45,0.104140259252597,0.599629117928136,93,Gastroenterology,efficacy,DICH,1,1,yes,1996.0,Septic abdominal complications (presence or absence),Laparoscopic surgery versus open surgery,0.173674453322792,"negative 
",negative,,,,,,,,,,,,,,,,,
337,CD005963,Henderson 2004 a,STD-Henderson-2004-a 3 1.625 80 80,1.11111245143234,1.64063025793971,160,Psychiatry & Mental Health,efficacy,DICH,1,1,yes,2004.0,Death,ADVANCE DIRECTIVES versus USUAL CARE,0.677247323737445,"negative 
",negative,,,,,,,,,,,,,,,,,
338,CD000937,Austria 1997,STD-Austria-1997 1 0.996 265 265,0.0,1.00379508005252,530,Pregnancy & Childbirth,efficacy,DICH,1,1,yes,1997.0,Perinatal mortality,Magnesium supplementation versus no magnesium,0.0,"negative 
",negative,,,,,,,,,,,,,,,,,
339,CD001732,Abramowitz 1973,STD-Abramowitz-1973 1.61 0.154 44 28,3.32588204443572,1.08304590589427,72,Heart & Hypertension,efficacy,DICH,1,7,no,1973.0,Results: cosmetic and symptomatic improvement,Sclerotherapy versus graduated compression stockings,3.07085971733537,"positive 
",positive,,,,,,,,,,,,,,,,,
340,CD009110,Baker 1993,STD-Baker-1993 0.444 0.401 10 10,-2.60268968544438,1.23603308118261,20,Skin & Wounds,efficacy,DICH,1,2,yes,1993.0,Number of ulcers healed,Alginate dressings compared with foam dressings,-2.10567963355332,"positive 
",positive,,,,,,,,,,,,,,,,,
341,CD009431,Amarapurkar 2004,STD-Amarapurkar-2004 0.619 0.241 30 30,-1.11556184698188,0.542657133985171,60,Gastroenterology,efficacy,DICH,1,2,no,2004.0,Not symptom-free or no symptom improvement,Prokinetic versus prokinetic,-2.05573976110736,"negative 
",negative,,,,,,,,,,,,,,,,,
342,CD012047,Ekmekci 2013,STD-Ekmekci-2013 3.102 1.653 30 30,1.1319487089357,1.65328517110549,60,"Oral Health, Eyes & ENT",efficacy,DICH,1,1,yes,2013.0,Postoperative vomiting (number of patients who vomit),Local injection versus no treatment/placebo,0.684666341124205,"negative 
",negative,,,,,,,,,,,,,,,,,
343,CD003017,See 2001,STD-See-2001 11 0.983 12 13,2.39789527279837,0.982806741383621,25,Psychiatry & Mental Health,efficacy,DICH,1,2,no,2001.0,Global improvement in symptoms,Famotidine versus placebo,2.43984414415244,"positive 
",positive,,,,,,,,,,,,,,,,,
344,CD006103,Walker 2014,STD-Walker-2014 1.43 0.118 655 655,0.438317932978743,0.144041430827414,1310,Psychiatry & Mental Health,efficacy,DICH,1,2,yes,2011.0,Continuous abstinence at 6m,Cytisine vs NRT,3.04299902091309,"positive 
",positive,,,,,,,,,,,,,,,,,
345,CD006934,Ravichandran 2003,STD-Ravichandran-2003 3.385 0.376 16 25,2.61901657873181,0.7934448032916,41,Gynaecology & Urology,efficacy,DICH,1,2,yes,2003.0,Recurrence of stricture requiring further surgery,Urethrotomy versus urethroplasty,3.30081760932436,"negative 
",negative,,,,,,,,,,,,,,,,,
346,CD003964,Guo 2008,STD-Guo-2008 0.464 0.4 36 31,-1.09596328049653,0.556613451109893,67,Kidney & Transplant,efficacy,DICH,1,4,yes,2008.0,Number of patients developing infection,Mannan peptide + baseline treatment versus baseline treatment,-1.96898454090747,"negative 
",negative,,,,,,,,,,,,,,,,,
347,CD005656,Pearson 2002,STD-Pearson-2002 2.732 0.752 41 28,1.14788333767489,0.832925308034621,69,"Oral Health, Eyes & ENT",efficacy,DICH,1,2,yes,2002.0,Gain of three or more lines visual acuity,Intravitreal fluocinolone acetonide implant versus other treatment,1.3781347818371,"positive 
",positive,,,,,,,,,,,,,,,,,
348,CD007191,Abrams 1993,STD-Abrams-1993 1.013 0.519 53 46,0.0143887374520995,0.596877659121693,99,Infectious Diseases,efficacy,DICH,1,1,yes,1993.0,Development of MAC disease,Monotherapy versus no treatment or placebo,0.0241066778630524,"negative 
",negative,,,,,,,,,,,,,,,,,
349,CD012656,Leslie 2008 PAK,STD-Leslie-2008-PAK 5.227 1.502 74 55,1.69259572010774,1.52240543802179,129,Infectious Diseases,efficacy,DICH,1,3,yes,2008.0,Recurrence,0.75 mg/kg primaquine/week for 8 weeks versus high-standard 14-day regimen,1.11179037977367,"negative 
",negative,,,,,,,,,,,,,,,,,
350,CD003382,Evliyaoglu 2011,STD-Evliyao_x011f_lu-2011 11.5 0.681 25 25,4.88469407073841,1.04257207028537,50,Psychiatry & Mental Health,efficacy,DICH,1,2,no,2011.0,Global Assessment Questions,Tadalafil vs placebo,4.6852339612372,"neutral 
",neutral,,,,,,,,,,,,,,,,,
351,CD011261,Dehghan 2016,STD-Dehghan-2016 0.567 0.467 50 52,-0.676753370784269,0.551990284520905,102,Public Health & Work,efficacy,DICH,1,1,no,2016.0,Prevalence of MSD in thigh,Multi-faceted ergonomic interventions versus no intervention,-1.22602406194821,"negative 
",negative,,,,,,,,,,,,,,,,,
352,CD000175,Collins 1978,STD-Collins-1978 0.072 1.014 49 53,-2.94166505228372,1.05537471519536,102,Pregnancy & Childbirth,efficacy,DICH,1,1,no,1978.0,Maternal hypotension,Prophylactic intravenous preloading before epidural anaesthesia in labour,-2.78731810600483,"negative 
",negative,,,,,,,,,,,,,,,,,
353,CD001755,Klarskov 1986,STD-Klarskov-1986 1.25 0.204 7 9,1.6094379124341,1.63299316185545,16,Gynaecology & Urology,efficacy,DICH,1,2,yes,1986.0,"Number not cured (worse, unchanged or improved) within first year",ANTERIOR REPAIR VS PELVIC FLOOR MUSCLE TRAINING,0.985575414538425,"negative 
",negative,,,,,,,,,,,,,,,,,
354,CD004931,Benjamin 1988,STD-Benjamin-1988 7 1.505 90 90,1.97962120639763,1.51927370177324,180,Genetics & Endocrinology,efficacy,DICH,1,5,no,1988.0,Gastric ulcers,Minor complications due to balloon usage,1.30300498461014,"negative 
",negative,,,,,,,,,,,,,,,,,
355,CD010136,Fouad 1996,STD-Fouad-1996 0.267 1.485 8 11,-1.49821227732388,1.61954012507201,19,"Oral Health, Eyes & ENT",efficacy,DICH,1,4,yes,1996.0,Incidence of endodontic flare-up,Endodontic flare-up,-0.92508500044558,"negative 
",negative,,,,,,,,,,,,,,,,,
356,CD002253,Jain 1996*,STD-Jain-1996_x002a_ 0.9 0.167 20 18,-0.510825623765991,0.816496580927726,38,Pregnancy & Childbirth,efficacy,DICH,1,8,no,1996.0,Complete miscarriage,Vaginal misoprostol plus laminaria tents versus vaginal misoprostol alone,-0.625631062882807,"negative 
",negative,,,,,,,,,,,,,,,,,
357,CD004048,Li 2008,STD-Li-2008 0.42 0.36 77 77,-0.866477026161936,0.359843564662956,154,Psychiatry & Mental Health,efficacy,DICH,1,5,no,2008.0,Efficacy - response (categorical): YMRS decrease by = 50% by end of trial,Lithium vs quetiapine,-2.40792697508295,"positive 
",positive,,,,,,,,,,,,,,,,,
358,CD001430,Kapoor 1998,STD-Kapoor-1998 1.307 0.369 22 23,0.44628710262842,0.612372435695794,45,"Oral Health, Eyes & ENT",efficacy,DICH,1,2,yes,1998.0,Participants with normal visual acuity at 6 months,Total intravenous corticosteroid dose more than or equal to 3000 mg versus placebo,0.728783786816492,"positive 
",positive,,,,,,,,,,,,,,,,,
359,CD009458,Ørbo 2014,STD-_x00d8_rbo-2014 1.4 1.757 3 8,0.336472236621213,1.75662013130736,11,Gynaecology & Urology,efficacy,DICH,1,1,yes,2014.0,Regression rate,Levonorgestrel-releasing intrauterine system (LNG-IUS) versus medroxyprogesterone (MPA) 10 mg,0.191545246820549,"negative 
",negative,,,,,,,,,,,,,,,,,
360,CD009172,Beken 2014,STD-Beken-2014 1.333 0.73 40 40,0.315081046639896,0.798835488782351,80,Neonatal,efficacy,DICH,1,1,yes,2014.0,Death before discharge,MOFS-LE versus S-LE,0.394425449375274,"negative 
",negative,,,,,,,,,,,,,,,,,
361,CD004539,Solomkin 2001,STD-Solomkin-2001 1.689 0.577 259 270,0.524280516100174,0.576851496184833,529,Gastroenterology,efficacy,DICH,1,12,yes,2001.0,Mortality (all causes - ITT analysis),Fluoroquinolones alone versus other regimens,0.908865660516872,"negative 
",negative,,,,,,,,,,,,,,,,,
362,CD003063,Dani 2004,STD-Dani-2004 0.082 1.42 13 14,-3.02757287940965,1.53152449759831,27,Neonatal,efficacy,DICH,1,1,no,2004.0,Need for mechanical ventilation.,"Early surfactant, rapid extubation to NCPAP vs. selective surfactant, ventilation in babies with RDS.",-1.97683607683546,"negative 
",negative,,,,,,,,,,,,,,,,,
